Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
1 Corinthians 1:23-24,1 Peter 5:5-14,"Psalms 89:2-3, 6-7, 16-17",,2017-04-25,Mark 16:15-20,"St. Mark, Evangelist (Feast)"
John 3:16,Acts 5:17-26,Psalms 34:2-9,,2017-04-26,John 3:16-21,Easter Weekday
John 20:29,Acts 5:27-33,"Psalms 34:2, 9, 17-20",,2017-04-27,John 3:31-36,Easter Weekday
Matthew 4:4,Acts 5:34-42,"Psalms 27:1, 4, 13-14",,2017-04-28,John 6:1-15,"St. Louis Grignion de Montfort, Priest (Optional Memorial)"
,Acts 6:1-7,"Psalms 33:1-2, 4-5, 18-19",,2017-04-29,John 6:16-21,"St. Catherine of Siena, Virgin, Doctor of the Church (Memorial)"
Luke 24:32,"Acts 2:14, 22-33","Psalms 16:1-2, 5, 7-11",1 Peter 1:17-21,2017-04-30,Luke 24:13-35,Third Sunday of Easter
Matthew 4:4,Genesis 1:26--2:3,"Colossians 3:14-15, 17, 23-24",,2017-05-01,"Psalms 90:2-4, 12-14, 16",St. Joseph the Worker (Optional Memorial)
John 6:35,Acts 7:51--8:1,"Psalms 31:3-4, 6-8, 17, 21",,2017-05-02,John 6:30-35,"St. Athanasius, Bishop, Doctor of the Church (Memorial)"
"John 14:6, 9",1 Corinthians 15:1-8,Psalms 19:2-5,,2017-05-03,John 14:6-14,"Saints Philip and James, Apostles (Feast)"
John 6:51,Acts 8:26-40,"Psalms 66:8-9, 16-17, 20",,2017-05-04,John 6:44-51,Easter Weekday
John 6:56,Acts 9:1-20,Psalms 117:1-2,,2017-05-05,John 6:52-59,Easter Weekday
"John 6:63, 68",Acts 9:31-42,Psalms 116:12-17,,2017-05-06,John 6:60-69,Easter Weekday
John 10:14,"Acts 2:14, 36-41",Psalms 23:1-6,1 Peter 2:20-25,2017-05-07,John 10:1-10,Fourth Sunday of Easter
John 10:14,Acts 11:1-18,Psalms 42:2-3; 43:3-4,,2017-05-08,John 10:11-18,Easter Weekday
John 10:27,Acts 11:19-26,Psalms 87:1-7,,2017-05-09,John 10:22-30,Easter Weekday
John 8:12,Acts 12:24--13:5,"Psalms 67:2-3, 5-6, 8",,2017-05-10,John 12:44-50,"St. Damien de Veuster (of Molokai), Priest (Optional Memorial)"
Revelation 1:5,Acts 13:13-25,"Psalms 89:2-3, 21-22, 25, 27",,2017-05-11,John 13:16-20,"St. Ignatius of Laconi, Religious (Memorial)"
John 14:6,Acts 13:26-33,Psalms 2:6-11,,2017-05-12,John 14:1-6,"St. Leopold Mandic, Capuchin, Priest (Memorial)"
